pl_name,gaia_id,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,ra,dec
KIC 10525077 b,Gaia DR2 2131059594280288128,1,854.083,0.01628,-0.01697,,,,5.5,0.9,-0.8,,,,89.861,0.096,-0.098,,,,0.25,,,,,,,,,287.3781164,47.7711541
KIC 3558849 b,Gaia DR2 2052136821446989568,1,1322.3,386.1,-11.2,,,,6.9,1,-0.9,,,,89.973,0.023,-0.031,,,,0.3969,,,,,,,,,294.9498381,38.6051867
KIC 5437945 b,Gaia DR2 2102070660978313472,2,440.7813,0.00563,-0.00577,,,,6.4,1.6,-1.6,,,,89.904,0.066,-0.086,,,,0.2209,,,,,,,,,288.4749028,40.6512848
KIC 8540376 b,Gaia DR2 2105414310196331264,3,31.8099,0.00919,-0.00933,,,,4.1,2.2,-1.9,,,,89.3,0.49,-0.72,,,,0.09,,,,,,,,,282.3775397,44.694569
KIC 8540376 c,Gaia DR2 2105414310196331264,3,75.2,38.9,-1.1,,,,2.4,1.9,-1.4,,,,89.701,0.16,-0.16,,,,0.0324,,,,,,,,,282.3775397,44.694569
KIC 9663113 b,Gaia DR2 2080266967444876032,2,572.3847,0.00583,-0.00567,,,,4.6,0.6,-0.7,,,,89.768,0.095,-0.062,,,,0.1681,,,,,,,,,297.0454037,46.3286653
Kepler-105 b,Gaia DR2 2130368310704421120,2,5.4122,0.00002,-0.00002,0.066,0.003,-0.003,4.81,1.53,-1.53,0.47,0.05,-0.47,85.94,1.87,-3.88,0.64,0.26,-0.17,0.06,0.0006,-0.0006,272.16,16.04,-272.16,,,,287.8872376,46.2761224
Kepler-1052 c,Gaia DR2 2080466185207274880,2,180.921729,0.002826,-0.002826,0.6135,,,2.3,0.54,-0.19,0,,,89.99,,,0.025,0.42,-0.025,0.07424,0.00504,-0.00504,,,,,,,295.34273,46.6022134
Kepler-1126 c,Gaia DR2 2106496607595412480,2,199.66876,0.003961,-0.003961,0.6193,,,1.45,0.18,-0.18,0,,,89.98,,,0.046,0.42,-0.046,0.02519,0.00197,-0.00197,,,,,,,285.691955,45.6893993
Kepler-1162 c,Gaia DR2 2106996095111385728,2,59.284064,0.0006992,-0.0006992,0.2832,,,1.81,0.13,-0.11,0,,,89.55,,,0.556,0.384,-0.346,0.04244,0.00357,-0.00357,,,,,,,283.2920273,45.4339813
Kepler-1181 c,Gaia DR2 2101035367703145088,2,8.93484887,0.00009707,-0.00009707,0.0928,,,1.83,0.64,-0.23,0,,,86.05,,,0.888,0.096,-0.667,0.01359,0.00165,-0.00165,,,,,,,289.7473165,39.5234131
Kepler-1471 c,Gaia DR2 2133035966431029376,2,11.6044881,0.000113,-0.000113,0.0981,,,1.88,0.28,-0.34,0,,,89.74,,,0.118,0.334,-0.118,0.02676,0.00203,-0.00203,,,,,,,289.6649171,50.0200612
Kepler-1487 c,Gaia DR2 2073153024144692736,2,35.8007112,0.0003713,-0.0003713,0.2588,,,7.97,1.39,-2.77,0,,,89.93,,,0.043,0.402,-0.043,0.04174,0.00175,-0.00175,,,,,,,295.4980737,38.6444499
Kepler-1491 c,Gaia DR2 2127985806448631808,2,61.569765,0.001804,-0.001804,0.3045,,,2.44,0.39,-0.53,0,,,89.35,,,0.486,0.074,-0.409,0.02983,0.00309,-0.00309,,,,,,,293.6297645,45.7406293
Kepler-15 b,Gaia DR2 2134850847813263360,1,4.942782,0.0000013,-0.0000013,0.05714,0.00086,-0.00093,10.76,0.67,-0.78,0.06,,,87.44,0.18,-0.2,0.554,0.023,-0.024,1.1265,,,,,,78.7,8.5,-9.5,296.2005506,49.1400304
Kepler-1514 b,Gaia DR2 2051866238502437632,2,217.83184,0.00012,-0.00012,0.753,0.013,-0.014,12.42,0.258,-0.258,0.401,0.013,-0.014,89.944,0.013,-0.01,0.169,0.03,-0.039,0.7805,0.0025,-0.0027,-75.28,0.75,-0.71,172.5,3.9,-3.9,292.6274943,37.8601653
Kepler-1514 c,Gaia DR2 2051866238502437632,2,10.514181,0.000039,-0.000039,0.0997,0.0018,-0.0018,1.176,0.057,-0.044,0.32,0.35,-0.19,87.98,1.2,-0.4,0.47,0.22,-0.31,0.00699,0.00063,-0.00043,0,120,-160,,,,292.6274943,37.8601653
